%time,field.header.seq,field.header.stamp,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1372687213237666953,4246,1372687213234863151,0.00400342265482,-0.0519287488515,0.704600944401,0.707689823863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00383599464078,-0.0237167824339,0.0625463901428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86328,-0.580752,9.778608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687213339507601,4247,1372687213331465879,0.00572853790034,-0.0543760977279,0.706349494174,0.705748408379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00941946884815,-0.0659524862155,0.0548704936907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894672,-0.572904,9.762912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687213431984632,4248,1372687213429459495,0.00868249445346,-0.0576699169706,0.708487560097,0.703309442674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024409968499,-0.0882897487276,0.0597608335773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.918216,-0.635688,9.715824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687213525384723,4249,1372687213527443838,0.0122351540757,-0.06084854342,0.710436501647,0.701019067427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00768345481052,-0.103999616894,0.0597610602453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.043784,-0.612144,9.739368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687213627610311,4250,1372687213625453905,0.0157189825204,-0.0632971749243,0.712904682532,0.69822152277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172792538437,-0.0847980335938,0.0681446235817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05948,-0.674928,9.700128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687213730638620,4251,1372687213723423264,0.0180526903079,-0.063926779732,0.715518169359,0.69542880047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0293275679762,-0.0484924721548,0.0772294097689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.043784,-0.580752,9.684432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687213835347540,4252,1372687213822053932,0.0178907221957,-0.0615011323337,0.71884440238,0.692214026113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0363062983769,0.0319650917866,0.0866557947964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.043784,-0.604296,9.69228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687213918807438,4253,1372687213919456945,0.0172316979444,-0.0581070480488,0.72195818174,0.689277174562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04677703224,0.0572674201019,0.0880461386726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075176,-0.580752,9.700128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687214021230856,4254,1372687214018135463,0.0167628038487,-0.0543627858515,0.725269635254,0.686110524698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0568976527242,0.0607589404633,0.0967707348396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.004544,-0.572904,9.715824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687214113045175,4255,1372687214115466656,0.0167174142371,-0.0499831542234,0.728661054837,0.682843524915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0663238508531,0.0576162236048,0.0897869527701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.965304,-0.486576,9.723672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
